'从1.4版本起使用新格式，目前格式已不可用，请参照'网点中转.txt'里面的格式
'每个省份占一行，每行三个参数
'第一个是到达地，第二个是首重，第三个是续重，参数之间用制表符分隔
'默认按每0.5kg计价，如果有按其他重量计价的，可以加第四个参数，单位为kg
广东	2	0.4
福建	2.5	1.3
上海	2.5	1.8
江苏	2.5	1.8
浙江	2.5	1.8
安徽	2.5	1.8
广西	3.5	2.2
江西	3.5	2.2
湖北	3.5	2.2
湖南	3.5	2.2
海南	4	2.5
北京	3.5	2.5
河北	4	2.8
河南	3.5	2.8
天津	4	2.8
重庆	4.5	3.2
四川	4.5	3.2
贵州	4.5	2.8
云南	4.5	2.8
陕西	4.5	2.8
山东	4.5	3.5
山西	5.5	4
辽宁	5.5	4
甘肃	5.5	4
黑龙江	6	4.5
吉林	6	4.5
青海	6	4.8
内蒙古	7	5.5
宁夏	7	5.5
新疆	9.5	7
西藏	12	10
香港	45	5
